episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
483,5352.8,1763,743,18,-1,2195,374,7349224
484,5486.0,2269,551,22,-1,2915,377,7349944
485,5228.6,1638,756,19,-1,2195,359,7350672
486,5150.2,1539,724,21,-1,2520,364,7352584
487,4752.8,1271,75,20,-1,2175,396,7353272
488,5215.4,1756,558,19,-1,2370,382,7356408
489,4566.4,1118,78,18,-1,2060,396,7359616
490,4780.2,1362,553,19,-1,2320,380,7360840
491,4548.6,1082,67,17,-1,2095,396,7361928
492,4976.4,1654,534,20,-1,2125,366,7362432
493,5967.6,1768,82,20,-1,2440,397,7363368
494,1130.6,719,2644,3,-1,90,371,7366592
495,4957.4,1737,742,17,-1,2750,329,7370304
496,5163.0,3775,79,19,-1,2690,396,7370704
497,5020.0,1452,73,18,-1,2295,396,7371232
498,5118.2,1498,93,17,-1,2040,387,7373912
499,5315.2,1513,82,20,-1,2055,396,7375472
500,5024.6,1736,533,19,-1,2500,353,7376320
501,5029.2,1576,73,18,-1,2125,396,7379200
502,4824.4,1265,67,16,-1,2295,395,7380824
503,1736.2,694,1312,19,-1,430,397,7381872
504,5105.6,3784,67,18,-1,2325,395,7382856
505,5472.0,1792,741,20,-1,2145,365,7384640
506,5424.0,1559,550,24,-1,2230,371,7386384
507,4958.4,1591,554,18,-1,2135,363,7388200
508,4867.6,1296,68,18,-1,2080,396,7391192
509,5209.8,1601,372,21,-1,2450,377,7392008
510,5586.4,1260,81,16,-1,2085,396,7392936
511,5201.8,1406,544,19,-1,2275,371,7395888
512,5527.0,1791,742,21,-1,2515,350,7396200
513,4340.8,1371,67,6,-1,1760,396,7399168
514,4220.8,3642,752,16,-1,2730,0,7400368
515,5116.0,1616,70,18,-1,2440,396,7404120
516,4816.5,1214,76,16,-1,2150,396,7415280
517,4851.2,1404,746,17,-1,2225,351,7416800
518,5004.8,1428,555,19,-1,2315,376,7416992
519,4858.95,1449,70,19,-1,2600,396,7417160
520,4686.05,1507,988,19,-1,2405,318,7417624
521,4840.3,1606,729,17,-1,2020,356,7407174
522,4852.45,1231,59,16,-1,2035,395,7408405
523,5167.55,1493,510,21,-1,2155,370,7409898
524,2214.7,1054,2596,17,-1,370,354,7410952
525,4963.8,1624,66,19,-1,2185,395,7412576
526,1525.9,602,1317,18,-1,370,397,7412792
527,1711.2,640,1912,20,-1,440,387,7413248
528,1882.75,805,1428,17,-1,360,395,7415228
529,2511.4,1036,2585,20,-1,560,362,7418000
530,4693.5,1226,738,18,-1,2395,361,7420280
531,4620.7,1238,72,19,-1,2155,396,7420424
532,4907.5,1318,743,19,-1,2155,372,7421384
533,4984.6,1332,78,16,-1,2090,397,7421552
534,4710.15,1333,80,16,-1,2400,397,7421564
535,4685.65,1379,70,17,-1,1940,396,7422116
536,5260.8,1552,552,18,-1,2400,364,7424192
537,829.4,608,1894,5,-1,140,384,7425296
538,1498.7,594,1312,16,-1,330,396,7428512
539,4502.0,1008,76,18,-1,2170,396,7417664
